name,id,level,1_country_id,1_country,2_district_id,2_district,3_chiefdom_id,3_chiefdom
Gbane Kandor,Zoy23SSHCPs,3,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,,
Gbangadu MCHP,lQIe6vtSe1P,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,TQkG0sX9nca,Gbense
Gbangbalia MCHP,ctMepV9p92I,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,zFDYIgyGmXG,Bargbo
Gbangba MCHP,r93q83kZoR9,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,KctpIIucige,Selenga
Gbangbatoke CHC,ubsjwFFBaJM,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,W5fN3G6y1VI,Lower Banta
Gbangeima MCHP,VH7hLUaypel,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,A3Fh37HWBWE,Simbaru
Gbanja Town MCHP,E9oBVjyEaCe,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
Gbanti CHC,uedNhvYPMNu,4,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,e1eIKM1GIF3,Gbanti Kamaranka
Gbanti Kamaranka,e1eIKM1GIF3,3,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,,
Gbap CHC,TEVtOFKcLAP,4,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,VP397wRvePm,Nongoba Bullum
Gbeika MCHP,U8tyWV7WmIB,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,ERmBhYkhV6Y,Njaluahun
Gbendembu Ngowahun,BXJdOLvUrZB,3,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,,
Gbendembu Wesleyan CHC,YAuJ3fyoEuI,4,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,BXJdOLvUrZB,Gbendembu Ngowahun
Gbengama MCHP,duINhdt3Yay,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,RzKeCma9qb1,Barri
Gbenikoro MCHP,y77LiPqLMoq,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,VGAFxBXz16y,Sengbeh
Gbense,TQkG0sX9nca,3,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,,
Gbentu CHP,D7UVRRE9iUC,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,iEkBZnMDarP,Folosaba Dembelia
Gberia Timbakor MCHP,SCc0TNTDJED,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,PaqugoqjRIj,Sulima (Koinadugu)
Gberifeh MCHP,qELjt3LRkSD,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,OTFepb1k9Db,Mongo
Gbetema MCHP (Fiama),as1dnmlXLzG,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,CF243RPvNY7,Fiama
Gbeworbu-Gao CHP,L05Bfpu7AcZ,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,cM2BKSrj9F9,Luawa
Gbindi CHP,LFpl1falVZi,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,Mr4au3jR9bt,Dembelia Sinkunia
Gbinleh Dixion,qIRCo0MfuGb,3,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,,
Gbinti CHC,NaVzm59XKGf,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,ZiOVcrSjSYe,Dibia
Gbo,YmmeuGbqOwR,3,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,,
Gbogbodo MCHP,Pw9SihGDbZ5,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,HWjrSuoNPte,Sanda Magbolonthor
Gbo-Kakajama 1 MCHP,TAN6Q7vjvuk,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,KIUCimTXf8Q,Nongowa
Gbo-Kakajama 2 MCHP,l0WRLZlEgB1,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,KIUCimTXf8Q,Nongowa
Gbo-Lambayama 1 MCHP,OzVuFaZgm5U,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,KIUCimTXf8Q,Nongowa
Gbo-Lambayama 2 MCHP,TYq1YW7qs7k,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,KIUCimTXf8Q,Nongowa
Gbolon MCHP,vwvDblM3MNX,4,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,kbPmt60yi0L,Bramaia
Gbombana MCHP,X3D19LoA2Ij,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,ZiOVcrSjSYe,Dibia
Gbomsamba MCHP,cBi3y4lGhDd,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,Pc3JTyqnsmL,Buya Romende
Gbondapi CHC,bHcw141PTsE,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,QwMiPiME3bA,Kpanga Kabonde
Gbongboma MCHP,tGf942oWszb,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
Gbongeh CHP,MMrdfNDfBIi,4,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,aWQTfvgPA5v,Kpanda Kemoh
Gbongeima MCHP,rebbn0ooFSO,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,USQdmvrHh1Q,Kaiyamba
Gbongongor CHP,HOgWkpYH3KB,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,LhaAPLxdSFH,Lei
Gbonkobana CHP,BXJnMD2eJAx,4,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,e1eIKM1GIF3,Gbanti Kamaranka
Gbonkoh Kareneh MCHP,zm9breCeT1m,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,JdqfYTIFZXN,Maforki
Gbonkomaria CHP,M3dL6ZAIZ3I,4,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,QywkxFudXrC,Magbema
